"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","NatM_p_1_Fem_GP_1",0.06,1033,0.00187736,233355,79667.7,0.341402,0
"4","NatM_p_1_Fem_GP_1",0.07,1024.85,1.57726e-05,220753,94895.6,0.429872,0
"3","NatM_p_1_Fem_GP_1",0.08,1021.97,7.01375e-05,222129,117110,0.527217,0
"2","NatM_p_1_Fem_GP_1",0.09,1022.93,0.000856396,235465,147526,0.62653,0
"1","NatM_p_1_Fem_GP_1",0.1,1025.78,8.48594e-05,261850,188003,0.717982,0
"6","NatM_p_1_Fem_GP_1",0.108,1030.1,0.00030295,295584,231213,0.782223,0
"7","NatM_p_1_Fem_GP_1",0.11,1030.56,0.000867739,307330,245298,0.798157,0
"8","NatM_p_1_Fem_GP_1",0.12,1036.1,0.00547855,382959,331008,0.864343,0
"9","NatM_p_1_Fem_GP_1",0.13,1043.07,3.79653e-05,539732,497078,0.920971,0
"10","NatM_p_1_Fem_GP_1",0.14,1050.76,8.51448e-05,1037930,1006700,0.969918,0
